chapter,transcript,is_present,id,start_frame,end_frame
ch07,what toys have we got <name>?,true,ch07_97412_98926,4871,4946
ch07,what's this?,true,ch07_100464_100914,5023,5046
ch07,are you sure?,true,ch07_103529_104776,5176,5239
ch07,no,true,ch07_108270_110409,5414,5520
ch07,ah,true,ch07_110503_110817,5525,5541
ch07,lizard,true,ch07_111432_112822,5572,5641
ch07,i think you might be right,true,ch07_112881_115191,5644,5760
ch07,should we make the lizard walk along?,true,ch07_115310_116493,5766,5825
ch07,yeah,true,ch07_117671_118263,5884,5913
ch07,let's make let's make the different,true,ch07_118329_119931,5916,5997
ch07,the way they did the the animals move,true,ch07_120650_122529,6032,6126
ch07,so how would a lizard move across the table?,true,ch07_122529_124479,6126,6224
ch07,that's right,true,ch07_129812_130606,6491,6530
ch07,are lizards fast or slow do you think?,true,ch07_130810_132510,6540,6626
ch07,<laugh>,true,ch07_135200_136628,6760,6831
ch07,then bring it back again,true,ch07_136928_137896,6846,6895
ch07,ah,true,ch07_139560_139996,6978,7000
ch07,mr lizard,true,ch07_139996_140659,7000,7033
ch07,do you see him looking happy or sad today?,true,ch07_140659_142863,7033,7143
ch07,<laugh>,true,ch07_146936_147358,7347,7368
ch07,grumpy,true,ch07_147451_148492,7373,7425
ch07,are you grumpy mr lizard?,true,ch07_149328_150817,7466,7541
ch07,what should we call him,true,ch07_151450_152364,7572,7618
ch07,no,true,ch07_154885_155095,7744,7755
ch07,that's not a nice name,true,ch07_155095_156213,7755,7811
ch07,let's think of another name,true,ch07_156316_157424,7816,7871
ch07,mr fast the lizard,true,ch07_163098_164348,8155,8217
ch07,mr fast <noise>,true,ch07_165018_166902,8251,8345
ch07,<noise>,true,ch07_167333_168115,8367,8406
ch07,he's really fast,true,ch07_171263_172343,8563,8617
ch07,do lizards bounce?,true,ch07_173278_174368,8664,8718
ch07,i don't think they bounce,true,ch07_177204_178378,8860,8919
ch07,i don't think so,true,ch07_183117_183830,9156,9192
ch07,what animals,true,ch07_183830_184490,9192,9224
ch07,i don't,true,ch07_189314_189868,9466,9493
ch07,bring him back,true,ch07_195232_195781,9762,9789
ch07,bring him back on the table,true,ch07_196683_197612,9834,9881
ch07,<name>,true,ch07_197954_198170,9898,9908
ch07,do you remember seeing little lizards when we were on holiday?,true,ch07_198170_200290,9908,10014
ch07,yeah did you see them bounce?,true,ch07_202430_203990,10122,10200
ch07,no what did you see them do?,true,ch07_207432_209119,10372,10456
ch07,i didn't see them hop,true,ch07_211699_212729,10585,10636
ch07,i saw them crawl,true,ch07_213139_214301,10657,10715
ch07,and i saw them crawl sometimes up a wall like that,true,ch07_214301_217055,10715,10853
ch07,do you remember?,true,ch07_218777_219547,10939,10977
ch07,no?,true,ch07_220993_221505,11050,11075
ch07,but also the ones we saw on holiday were about this big,true,ch07_222198_225669,11110,11283
ch07,i'm watching,true,ch07_226798_227424,11340,11371
ch07,oh,true,ch07_228957_229902,11448,11495
ch07,what's he called again?,true,ch07_230640_231513,11532,11576
ch07,mr fast,true,ch07_236095_237255,11805,11863
ch07,so,true,ch07_237663_238537,11883,11927
ch07,i do you know what?,true,ch07_240827_241590,12041,12080
ch07,i was looking at him,true,ch07_241590_242445,12080,12122
ch07,and i was thinking where are his eyes?,true,ch07_242445_245118,12122,12256
ch07,can you see his eyes anywhere?,true,ch07_245931_247204,12297,12360
ch07,have a good old look all around him,true,ch07_252656_254255,12633,12713
ch07,have you seen,true,ch07_258520_259176,12926,12959
ch07,i know mommy got it upside down,true,ch07_261213_262921,13061,13146
ch07,but actually do bats go upside down,true,ch07_262921_266079,13146,13304
ch07,or do they go the right way up?,true,ch07_266079_267307,13304,13365
ch07,why do they go upside down darling?,true,ch07_270419_271921,13521,13596
ch07,have a think about it,true,ch07_285941_286917,14297,14346
ch07,why do you think they might do that?,true,ch07_286917_288418,14346,14421
ch07,what are they doing when they are hanging upside down?,true,ch07_292297_294561,14615,14728
ch07,they are aren't they?,true,ch07_296712_298283,14836,14914
ch07,do you think they hang upside down,true,ch07_299028_300435,14951,15022
ch07,because it is easier to hold on upside down,true,ch07_300465_303487,15023,15174
ch07,than if they stay up like that?,true,ch07_303487_304888,15174,15244
ch07,well do you think when they go upside down it makes their eyes shut?,true,ch07_306209_308289,15310,15414
ch07,i don't really know the answer,true,ch07_314758_316271,15738,15814
ch07,and what does a bat do?,true,ch07_317027_318250,15851,15912
ch07,show me what a bat does,true,ch07_318256_319269,15913,15963
ch07,<laugh>,true,ch07_320858_321167,16043,16058
ch07,see his wings,true,ch07_321167_322080,16058,16104
ch07,that's right,true,ch07_324317_325827,16216,16291
ch07,<name>,true,ch07_327396_327729,16370,16386
ch07,have you ever seen a real bat?,true,ch07_327729_329269,16386,16463
ch07,no?,true,ch07_330435_331102,16522,16555
ch07,mommy and dad,true,ch07_331917_332682,16596,16634
ch07,shall i tell you when mommy and daddy see a bat sometimes?,true,ch07_333134_335474,16657,16774
ch07,you don't want to know,true,ch07_336430_337294,16822,16865
ch07,we see bats in the evening,true,ch07_338267_340839,16913,17042
ch07,after it's gone dark,true,ch07_340890_342611,17044,17131
ch07,and sometimes you see a bat,true,ch07_343223_344683,17161,17234
ch07,and it will fly pass the window,true,ch07_344824_346158,17241,17308
ch07,and we will be like hang on a minute,true,ch07_346158_347848,17308,17392
ch07,it can't be a bird,true,ch07_347848_349128,17392,17456
ch07,coz birds don't come out after dark,true,ch07_349158_351258,17458,17563
ch07,that's how we know it's a bat,true,ch07_352069_354129,17603,17706
ch07,what other animals were on the table just now?,false,ch07_394913_397743,19746,19887
ch07,mmhm,false,ch07_401652_402368,20083,20118
ch07,bat,false,ch07_408986_409686,20449,20484
ch07,there was a pink one i remember,false,ch07_410525_412362,20526,20618
ch07,what was the pink one?,false,ch07_412448_413624,20622,20681
ch07,okay,false,ch07_416408_416677,20820,20834
ch07,this is the clue oink oink,false,ch07_416677_418102,20834,20905
ch07,good,false,ch07_419607_420095,20980,21005
ch07,i saw one wear the big fluffly brown mane,false,ch07_420186_423759,21009,21188
ch07,what would that be?,false,ch07_425217_426030,21261,21302
ch07,a lion,false,ch07_427524_428406,21376,21420
ch07,roar,false,ch07_428516_429324,21426,21466
ch07,so bats only come out at night,false,ch07_440942_443712,22047,22186
ch07,and you know that the bats have those two eyes,false,ch07_444532_446862,22227,22343
ch07,actually,false,ch07_447911_448608,22396,22430
ch07,this is a really weird thing,false,ch07_448608_449945,22430,22497
ch07,bats can't see,false,ch07_450332_451727,22517,22586
ch07,they're blind,false,ch07_452469_453406,22623,22670
ch07,i know,false,ch07_456680_457601,22834,22880
ch07,no,false,ch07_464084_464468,23204,23223
ch07,they're just made like that,false,ch07_464468_465681,23223,23284
ch07,i know,false,ch07_467541_468056,23377,23403
ch07,isn't that awful?,false,ch07_468056_469291,23403,23465
ch07,so,false,ch07_471050_471225,23552,23561
ch07,how do they manage to fly around?,false,ch07_471225_472855,23561,23643
ch07,pretending to be blind?,false,ch07_477125_478213,23856,23911
ch07,do you remember how hard it was?,false,ch07_478213_479439,23911,23972
ch07,like you kept bumping into things,false,ch07_480084_481584,24004,24079
ch07,bang,false,ch07_490393_491242,24520,24562
ch07,that's it,false,ch07_491817_492296,24591,24615
ch07,see it's really hard,false,ch07_492325_493343,24616,24667
ch07,so how do bats fly around with their eyes if they can't see?,false,ch07_493663_496763,24683,24838
ch07,do you know why?,false,ch07_498156_498902,24908,24945
ch07,shall i tell you why?,false,ch07_498912_499834,24946,24992
ch07,i think this is right they send out vibrations,false,ch07_502068_505686,25103,25284
ch07,that bounce off the things that are they're flying around,false,ch07_506131_510047,25307,25502
ch07,so that stops them banging into them,false,ch07_510067_512467,25503,25623
ch07,so i we do you know what we've not done yet?,false,ch07_536093_538651,26805,26933
ch07,we gave a name to the lizard,false,ch07_538651_540041,26933,27002
ch07,but we didn't give a name to the bat did we?,false,ch07_540114_541854,27006,27093
ch07,let's call the name,false,ch07_545897_547142,27295,27357
ch07,let's let's give the name to a bat that begins with 'b',false,ch07_547142_550262,27357,27513
ch07,for 'bat',false,ch07_550963_551483,27548,27574
ch07,bo,false,ch07_556111_556384,27806,27819
ch07,<laugh>,false,ch07_556384_556855,27819,27843
ch07,box the bat,false,ch07_557667_558587,27883,27929
ch07,that's a bit of a silly name,false,ch07_562153_563414,28108,28171
ch07,what should we give the name to the lion?,false,ch07_567057_568904,28353,28445
ch07,<laugh>,false,ch07_626476_627251,31324,31363
ch07,so let's name the animals,false,ch07_627281_629117,31364,31456
ch07,what have we got?,false,ch07_629149_629866,31457,31493
ch07,what's the name of the lizard?,false,ch07_630159_631266,31508,31563
ch07,what's the name of the lizard?,false,ch07_634047_634907,31702,31745
ch07,mr,false,ch07_638042_639116,31902,31956
ch07,what's the name of the bat?,false,ch07_639923_641663,31996,32083
ch07,box the bat,false,ch07_647349_648074,32367,32404
ch07,the lion,false,ch07_651174_651894,32559,32595
ch07,what's the name of the lion?,false,ch07_651894_652766,32595,32638
ch07,what's the name of the lion?,false,ch07_656263_657211,32813,32861
ch07,lu,false,ch07_659957_660706,32998,33035
ch07,ooh,true,ch07_666303_666532,33315,33327
ch07,i can hear some,true,ch07_666659_667349,33333,33367
ch07,ha,true,ch07_667349_668137,33367,33407
ch07,<name>,true,ch07_681945_682255,34097,34113
ch07,what's this?,true,ch07_694453_695073,34723,34754
ch07,that's it you'd,true,ch07_702777_703373,35139,35169
ch07,where where you were doing it the first time,true,ch07_704135_705732,35207,35287
ch07,that's exactly,true,ch07_705732_706455,35287,35323
ch07,daddy's taught you to do that hasn't he on his violin?,true,ch07_706720_709147,35336,35457
ch07,can i have a go?,true,ch07_712588_713457,35629,35673
ch07,doesn't make much of a noise does it?,true,ch07_721398_722816,36070,36141
ch07,i think it's not turned on,true,ch07_724248_725659,36212,36283
ch07,i don't know how this works,true,ch07_733443_734583,36672,36729
ch07,right,true,ch07_738503_738798,36925,36940
ch07,let me teach you something about how you do the trumpet,true,ch07_738872_741292,36944,37065
ch07,so you don't put your mouth all the way over it,true,ch07_741292_744117,37065,37206
ch07,<noise>,true,ch07_744575_745315,37229,37266
ch07,you just go like this,true,ch07_745676_746538,37284,37327
ch07,you you know when you go can you go like this?,true,ch07_746538_748953,37327,37448
ch07,<noise>,true,ch07_749179_749557,37459,37478
ch07,<noise>,true,ch07_750893_751203,37545,37560
ch07,now put your lips there like you're doing <noise>,true,ch07_752124_755204,37606,37760
ch07,<laugh>,true,ch07_758142_759338,37907,37967
ch07,or just blow,true,ch07_763383_764303,38169,38215
ch07,maybe this is a blow one,true,ch07_764404_765358,38220,38268
ch07,yeah good,true,ch07_765358_766408,38268,38320
ch07,blow realy hard,true,ch07_766501_767225,38325,38361
ch07,can i have a go?,true,ch07_773885_774606,38694,38730
ch07,is that hard?,true,ch07_775706_776295,38785,38815
ch07,can i have a go?,true,ch07_776799_777317,38840,38866
ch07,well how do i hold this then?,true,ch07_778172_779412,38909,38971
ch07,<laugh>,true,ch07_785934_786626,39297,39331
ch07,you're better at it than me,true,ch07_788163_789744,39408,39487
ch07,let me try,true,ch07_791732_792102,39587,39605
ch07,let me try,true,ch07_792102_792578,39605,39629
ch07,try and keep your lips really close together,true,ch07_799668_801346,39983,40067
ch07,that's it,true,ch07_801661_802100,40083,40105
ch07,so the air doesn't escape around the edge,true,ch07_802200_803791,40110,40190
ch07,you need a lot of puff,true,ch07_813385_814456,40669,40723
ch07,have another go,true,ch07_815788_816425,40789,40821
ch07,so press one,true,ch07_819852_820787,40993,41039
ch07,one,true,ch07_820842_821191,41042,41060
ch07,these are called valves,true,ch07_821191_822361,41060,41118
ch07,so press one valve at a time,true,ch07_822812_824831,41141,41242
ch07,that's it,true,ch07_827197_827737,41360,41387
ch07,there you are,true,ch07_828551_829208,41428,41460
ch07,now you making different notes aren't you?,true,ch07_829721_831203,41486,41560
ch07,oh,true,ch07_836930_837170,41846,41858
ch07,no,true,ch07_837277_837825,41864,41891
ch07,um,true,ch07_840751_840983,42038,42049
ch07,let's look at the other things first,true,ch07_840983_842278,42049,42114
ch07,we turn this on?,true,ch07_842278_842997,42114,42150
ch07,let's keep trying <name>,true,ch07_860355_861706,43018,43085
ch07,and also there's lots of percussion instruments here,true,ch07_862831_865157,43142,43258
ch07,what is this darling?,true,ch07_865641_866712,43282,43336
ch07,what do you call this?,true,ch07_866831_867344,43342,43367
ch07,is have you ever seen a violin this small?,true,ch07_871552_873919,43578,43696
ch07,it's really small,true,ch07_875956_876837,43798,43842
ch07,who's it for do you think if it is so small?,true,ch07_876837_879027,43842,43951
ch07,who would play such a small violin?,true,ch07_879027_880666,43951,44033
ch07,can you sit down?,true,ch07_888378_889399,44419,44470
ch07,did i,true,ch07_892344_892815,44617,44641
ch07,oh,true,ch07_892831_892980,44642,44649
ch07,hang on,true,ch07_892980_893359,44649,44668
ch07,let's pluck,true,ch07_893359_893875,44668,44694
ch07,so instead of using the bow,true,ch07_894147_895650,44707,44782
ch07,why don't you get your finger,true,ch07_896133_897411,44807,44871
ch07,oops,true,ch07_898026_898287,44901,44914
ch07,and pluck it,true,ch07_898681_899337,44934,44967
ch07,oops,true,ch07_899387_899661,44969,44983
ch07,that probably wasn't meant to happen,true,ch07_899661_901053,44983,45053
ch07,pluck it,true,ch07_902180_902544,45109,45127
ch07,does that make a noise?,true,ch07_904621_905431,45231,45272
ch07,kind of,true,ch07_907803_908343,45390,45417
ch07,there must be a way to turn it on,true,ch07_909145_910704,45457,45535
ch07,but i haven't worked it out,true,ch07_910717_912209,45536,45610
ch07,that's an interesting noise isn't it?,true,ch07_914129_915707,45706,45785
ch07,that sounds a bit like rain,true,ch07_919685_921135,45984,46057
ch07,raindrops don't you think?,true,ch07_922891_924041,46145,46202
ch07,try these,true,ch07_942330_942733,47116,47137
ch07,these are fantastic,true,ch07_942733_943663,47137,47183
ch07,these are easy,true,ch07_943739_944492,47187,47225
ch07,they are called,true,ch07_946473_949093,47324,47455
ch07,i think they're called claves,true,ch07_949093_950373,47455,47519
ch07,and these are called castanets,true,ch07_951144_954924,47557,47746
ch07,you bang them together exactly like you're doing to make a rhythm,true,ch07_956417_958923,47821,47946
ch07,so let's say we have to do a rhythm in an orchestra,true,ch07_958943_961485,47947,48074
ch07,you copy my rhythm,true,ch07_961897_962937,48095,48147
ch07,listen,true,ch07_963113_963574,48156,48179
ch07,yeah well done,true,ch07_976423_978508,48821,48925
ch07,haven't done these yet,true,ch07_980787_981679,49039,49084
ch07,quick,true,ch07_981691_981861,49085,49093
ch07,i really wanted to try that,true,ch07_985054_986179,49253,49309
ch07,put it on your mouth darling,true,ch07_992562_993966,49628,49698
ch07,okay,true,ch07_1002699_1003020,50135,50151
ch07,he really wants to learn the trumpet,true,ch07_1017254_1018660,50863,50933
ch07,and to give it back darling,true,ch07_1019786_1020732,50989,51037
ch07,yeah,false,ch07_1176293_1176964,58815,58848
ch07,what was your favourite out of all those instruments?,false,ch07_1178047_1180325,58902,59016
ch07,trumpet,false,ch07_1186955_1187935,59348,59397
ch07,i knew it would be trumpet,false,ch07_1188125_1189825,59406,59491
ch07,why do you like the trumpet so much <name>?,false,ch07_1190268_1192188,59513,59609
ch07,loud,false,ch07_1197202_1197652,59860,59883
ch07,yeah,false,ch07_1205230_1205756,60262,60288
ch07,can you do that?,false,ch07_1228560_1229255,61428,61463
ch07,i liked out of those instruments on the table,false,ch07_1233740_1236092,61687,61805
ch07,you didn't have a go with them,false,ch07_1236115_1237132,61806,61857
ch07,but i liked the castanets that you just go,false,ch07_1237132_1239352,61857,61968
ch07,click click click,false,ch07_1239551_1240449,61978,62022
ch07,like shh,false,ch07_1240838_1241308,62042,62065
ch07,like crab claws,false,ch07_1241536_1242686,62077,62134
ch07,where're you off to?,false,ch07_1244985_1246094,62249,62305
ch07,can you come and be a crab claw with me?,false,ch07_1249329_1250849,62466,62542
ch07,<laugh>,false,ch07_1252985_1256741,62649,62837
ch07,pretend to be crab claw,false,ch07_1260387_1261419,63019,63071
ch07,no,false,ch07_1266053_1266424,63303,63321
ch07,i got to snap you,false,ch07_1266424_1267654,63321,63383
ch07,i'm going to snap you,false,ch07_1267894_1271559,63395,63578
ch07,no,false,ch07_1271559_1271819,63578,63591
ch07,i'm a bigger crab than you,false,ch07_1271819_1273673,63591,63684
ch07,i got bigger claws,false,ch07_1273677_1274618,63684,63731
ch07,look,false,ch07_1274618_1274878,63731,63744
ch07,okay,false,ch07_1283260_1283548,64163,64177
ch07,what other instruments were on the table just now,false,ch07_1283548_1285482,64177,64274
